"abstract","word_count"
"Partial cubes are isometric subgraphs of hypercubes. Structures on a graph defined by means of semicubes, and Djokovi'c's and Winkler's relations play an important role in the theory of partial cubes. These structures are employed in the paper to characterize bipartite graphs and partial cubes of arbitrary dimension. New characterizations are established and new proofs of some known results are given. The operations of Cartesian product and pasting, and expansion and contraction processes are utilized in the paper to construct new partial cubes from old ones. In particular, the isometric and lattice dimensions of finite partial cubes obtained by means of these operations are calculated.","118"
"Serre obtained the p-adic limit of the integral Fourier coefficient of modular forms on SL_2mathbbZ for p2,3,5,7. In this paper, we extend the result of Serre to weakly holomorphic modular forms of half integral weight on Gamma_04N for N1,2,4. A proof is based on linear relations among Fourier coefficients of modular forms of half integral weight. As applications we obtain congruences of Borcherds exponents, congruences of quotient of Eisentein series and congruences of values of L-functions at a certain point are also studied. Furthermore, the congruences of the Fourier coefficients of Siegel modular forms on Maass Space are obtained using Ikeda lifting.","110"
"Zero-divisors ZDs derived by Cayley-Dickson Process CDP from N-dimensional hypercomplex numbers N a power of 2, at least 4 can represent singularities and, as N approaches infinite, fractals -- and thereby,scale-free networks. Any integer greater than 8 and not a power of 2 generates a meta-fractal or ""Sky"" when it is interpreted as the ""strut constant"" S of an ensemble of octahedral vertex figures called ""Box-Kites"" the fundamental building blocks of ZDs. Remarkably simple bit-manipulation rules or ""recipes"" provide tools for transforming one fractal genus into others within the context of Wolfram's Class 4 complexity.","112"
"We describe a peculiar fine structure acquired by the in-plane optical phonon at the Gamma-point in graphene when it is brought into resonance with one of the inter-Landau-level transitions in this material. The effect is most pronounced when this lattice mode associated with the G-band in graphene Raman spectrum is in resonance with inter-Landau-level transitions 0 - ,1 and -,1 - 0, at a magnetic field B_0  30 T. It can be used to measure the strength of the electron-phonon coupling directly, and its filling-factor dependence can be used experimentally to detect circularly polarized lattice modes.","100"
"In XQM, a quark can emit Goldstone bosons. The flavor symmetry breaking in the Goldstone boson emission process is used to intepret the nucleon flavor-spin structure. In this paper, we study the inner structure of constituent quarks implied in XQM caused by the Goldstone boson emission process in nucleon. From a simplified model Hamiltonian derived from XQM, the intrinsic wave functions of constituent quarks are determined. Then the obtained transition probabilities of the emission of Goldstone boson from a quark can give a reasonable interpretation to the flavor symmetry breaking in nucleon flavor-spin structure.","102"
"We propose an extrapolation technique that allows accuracy improvement of the discrete dipole approximation computations. The performance of this technique was studied empirically based on extensive simulations for 5 test cases using many different discretizations. The quality of the extrapolation improves with refining discretization reaching extraordinary performance especially for cubically shaped particles. A two order of magnitude decrease of error was demonstrated. We also propose estimates of the extrapolation error, which were proven to be reliable. Finally we propose a simple method to directly separate shape and discretization errors and illustrated this for one test case.","103"
"We present a review of the discrete dipole approximation DDA, which is a general method to simulate light scattering by arbitrarily shaped particles. We put the method in historical context and discuss recent developments, taking the viewpoint of a general framework based on the integral equations for the electric field. We review both the theory of the DDA and its numerical aspects, the latter being of critical importance for any practical application of the method. Finally, the position of the DDA among other methods of light scattering simulation is shown and possible future developments are discussed.","104"
"We report on the analysis of selected single source data sets from the first round of the Mock LISA Data Challenges MLDC for white dwarf binaries. We implemented an end-to-end pipeline consisting of a grid-based coherent pre-processing unit for signal detection, and an automatic Markov Chain Monte Carlo post-processing unit for signal evaluation. We demonstrate that signal detection with our coherent approach is secure and accurate, and is increased in accuracy and supplemented with additional information on the signal parameters by our Markov Chain Monte Carlo approach. We also demonstrate that the Markov Chain Monte Carlo routine is additionally able to determine accurately the noise level in the frequency window of interest.","118"
"In this paper, we introduce the on-line Viterbi algorithm for decoding hidden Markov models HMMs in much smaller than linear space. Our analysis on two-state HMMs suggests that the expected maximum memory used to decode sequence of length n with m-state HMM can be as low as Thetamlog n, without a significant slow-down compared to the classical Viterbi algorithm. Classical Viterbi algorithm requires Omn space, which is impractical for analysis of long DNA sequences such as complete human genome chromosomes and for continuous data streams. We also experimentally demonstrate the performance of the on-line Viterbi algorithm on a simple HMM for gene finding on both simulated and real DNA sequences.","117"
"Lattice contribution to the electronic self-energy in complex correlated oxides is a fascinating subject that has lately stimulated lively discussions. Expectations of electron-phonon self-energy effects for simpler materials, such as Pd and Al, have resulted in several misconceptions in strongly correlated oxides. Here we analyze a number of arguments claiming that phonons cannot be the origin of certain self-energy effects seen in high-T_c cuprate superconductors via angle resolved photoemission experiments ARPES, including the temperature dependence, doping dependence of the renormalization effects, the inter-band scattering in the bilayer systems, and impurity substitution. We show that in light of experimental evidences and detailed simulations, these arguments are not well founded.","120"
"We show that there is an hierarchy of intersection rigidity properties of sets in a closed symplectic manifold: some sets cannot be displaced by symplectomorphisms from more sets than the others. We also find new examples of rigidity of intersections involving, in particular, specific fibers of moment maps of Hamiltonian torus actions, monotone Lagrangian submanifolds following the works of P.Albers and P.Biran-O.Cornea, as well as certain, possibly singular, sets defined in terms of Poisson-commutative subalgebras of smooth functions. In addition, we get some geometric obstructions to semi-simplicity of the quantum homology of symplectic manifolds. The proofs are based on the Floer-theoretical machinery of partial symplectic quasi-states.","119"
"From first-principles calculations, we predict that transition metal TM atom doped silicon nanowires have a half-metallic ground state. They are insulators for one spin-direction, but show metallic properties for the opposite spin direction. At high coverage of TM atoms, ferromagnetic silicon nanowires become metallic for both spin-directions with high magnetic moment and may have also significant spin-polarization at the Fermi level. The spin-dependent electronic properties can be engineered by changing the type of dopant TM atoms, as well as the diameter of the nanowire. Present results are not only of scientific interest, but can also initiate new research on spintronic applications of silicon nanowires.","114"
"Zero-divisors ZDs derived by Cayley-Dickson Process CDP from N-dimensional hypercomplex numbers N a power of 2, at least 4 can represent singularities and, as N approaches infinite, fractals -- and thereby,scale-free networks. Any integer greater than 8 and not a power of 2 generates a meta-fractal or ""Sky"" when it is interpreted as the ""strut constant"" S of an ensemble of octahedral vertex figures called ""Box-Kites"" the fundamental building blocks of ZDs. Remarkably simple bit-manipulation rules or ""recipes"" provide tools for transforming one fractal genus into others within the context of Wolfram's Class 4 complexity.","112"
"We report on the layer-by-layer growth of single-crystal Al2O3 thin-films on Nb 110. Single-crystal Nb films are first prepared on A-plane sapphire, followed by the evaporation of Al in an O2 background. The first stages of Al2O3 growth are layer-by-layer with hexagonal symmetry. Electron and x-ray diffraction measurements indicate the Al2O3 initially grows clamped to the Nb lattice with a tensile strain near 10. This strain relaxes with further deposition, and beyond about 5 nm we observe the onset of island growth. Despite the asymmetric misfit between the Al2O3 film and the Nb under-layer, the observed strain is surprisingly isotropic.","109"
"Most recently, both BaBar and Belle experiments found evidences of neutral D mixing. In this paper, we discuss the constraints on the strong phase difference in D0 to Kpi decay from the measurements of the mixing parameters, yprime, y_CP and x at the B factories. The sensitivity of the measurement of the mixing parameter y is estimated in BES-III experiment at psi3770 peak. We also make an estimate on the measurements of the mixing rate R_M. Finally, the sensitivity of the strong phase difference at BES-III are obtained by using data near the DbarD threshold with CP tag technique at BES-III experiment.","112"
"Starting from the N1 SUN_c x SUN_c' gauge theory with fundamental and bifundamental flavors, we apply the Seiberg dual to the first gauge group and obtain the N1 dual gauge theory with dual matters including the gauge singlets. By analyzing the F-term equations of the superpotential, we describe the intersecting type IIA brane configuration for the meta-stable nonsupersymmetric vacua of this gauge theory. By introducing an orientifold 6-plane, we generalize to the case for N1 SUN_c x SON_c' gauge theory with fundamental and bifundamental flavors. Finally, the N1 SUN_c x SpN_c' gauge theory with matters is also described very briefly.","111"
"We study the interaction between two adjacent but electrically isolated quantum point contacts QPCs. At high enough source-drain bias on one QPC, the drive QPC, we detect a finite electric current in the second, unbiased, detector QPC. The current generated at the detector QPC always flows in the opposite direction than the current of the drive QPC. The generated current is maximal, if the detector QPC is tuned to a transition region between its quantized conductance plateaus and the drive QPC is almost pinched-off. We interpret this counterflow phenomenon in terms of an asymmetric phonon-induced excitation of electrons in the leads of the detector QPC.","115"
"We report the first detection of the 6.2micron and 7.7micron infrared PAH' emission features in the spectrum of a high redshift QSO, from the Spitzer-IRS spectrum of the Cloverleaf lensed QSO H1413117, z2.56. The ratio of PAH features and rest frame far-infrared emission is the same as in lower luminosity star forming ultraluminous infrared galaxies and in local PG QSOs, supporting a predominantly starburst nature of the Cloverleaf's huge far-infrared luminosity 5.4E12 Lsun, corrected for lensing. The Cloverleaf's period of dominant QSO activity Lbol  7E13 Lsun is coincident with an intense star formation rate 1000 Msunyr and short gas exhaustion time 3E7yr star forming event.","115"
