Text,Label
"Setcover greedy algorithm is a natural approximation algorithm for test set problem. This paper gives a precise and tighter analysis of performance guarantee of this algorithm. The author improves the performance guarantee 2ln n which derives from set cover problem to 1.1354ln n by applying the potential function technique. In addition, the author gives a nontrivial lower bound 1.0004609ln n of performance guarantee of this algorithm. This lower bound, together with the matching bound of information content heuristic, confirms the fact information content heuristic is slightly better than setcover greedy algorithm in worst case.",0
"A number of results for C2-smooth surfaces of constant width in Euclidean 3-space mathbbE3 are obtained. In particular, an integral inequality for constant width surfaces is established. This is used to prove that the ratio of volume to cubed width of a constant width surface is reduced by shrinking it along its normal lines. We also give a characterization of surfaces of constant width that have rational support function. Our techniques, which are complex differential geometric in nature, allow us to construct explicit smooth surfaces of constant width in mathbbE3, and their focal sets. They also allow for easy construction of tetrahedrally symmetric surfaces of constant width.",0
"We determine the electronic structure of a graphene sheet on top of a lattice-matched hexagonal boron nitride h-BN substrate using ab initio density functional calculations. The most stable configuration has one carbon atom on top of a boron atom, the other centered above a BN ring. The resulting inequivalence of the two carbon sites leads to the opening of a gap of 53 meV at the Dirac points of graphene and to finite masses for the Dirac fermions. Alternative orientations of the graphene sheet on the BN substrate generate similar band gaps and masses. The band gap induced by the BN surface can greatly improve room temperature pinch-off characteristics of graphene-based field effect transistors.",0
"The laws of thermodynamics provide a clear concept of the temperature for an equilibrium system in the continuum limit. Meanwhile, the equipartition theorem allows one to make a connection between the ensemble average of the kinetic energy and the uniform temperature. When a system or its environment is far from equilibrium, however, such an association does not necessarily apply. In small systems, the regression hypothesis may not even apply. Herein, we show that in small nonequilibrium systems, the regression hypothesis still holds though with a generalized definition of the temperature. The latter must now be defined for each such manifestation.",0
"We perform molecular dynamics simulation of water using the TIP5P model to quantify structural order in both the first shell defined by four nearest neighborsand second shell defined by twelve next-nearest neighbors of a central water molecule. We find the anomalous decrease of orientational order upon compression occurs in both shells, but the anomalous decrease of translational order upon compression occurs it mainly in the second shell. The decreases of translational and orientational orders upon compression ""structural anomaly"" are thus correlated only in the second shell. Our findings quantitatively confirm the qualitative idea that the thermodynamic, dynamic and structural anomalies of water are related to changes in the second shell upon compression.",0
"Serre obtained the p-adic limit of the integral Fourier coefficient of modular forms on SL_2mathbbZ for p2,3,5,7. In this paper, we extend the result of Serre to weakly holomorphic modular forms of half integral weight on Gamma_04N for N1,2,4. A proof is based on linear relations among Fourier coefficients of modular forms of half integral weight. As applications we obtain congruences of Borcherds exponents, congruences of quotient of Eisentein series and congruences of values of L-functions at a certain point are also studied. Furthermore, the congruences of the Fourier coefficients of Siegel modular forms on Maass Space are obtained using Ikeda lifting.",0
"We present time-resolved photoluminescence measurements on two series of oligo-p-phenylenevinylene materials that self-assemble into supramolecular nanostructures with thermotropic reversibility in dodecane. One set of derivatives form chiral, helical stacks while the second set form less organised, frustrated stacks. Here we study the effects of supramolecular organisation on the resonance energy transfer rates. We measure these rates in nanoassemblies formed with mixed blends of oligomers and compare them with the rates predicted by Foerster theory. Our results and analysis show that control of supramolecular order in the nanometre lengthscale has a dominant effect on the efficiency and dimentionality of resonance energy transfer.",0
"The anticommuting properties of fermionic operators, together with the presence of parity conservation, affect the concept of entanglement in a composite fermionic system. Hence different points of view can give rise to different reasonable definitions of separable and entangled states. Here we analyze these possibilities and the relationship between the different classes of separable states. We illustrate the differences by providing a complete characterization of all the sets defined for systems of two fermionic modes. The results are applied to Gibbs states of infinite chains of fermions whose interaction corresponds to a XY-Hamiltonian with transverse magnetic field.",0
"We study the distribution of finite size pseudo-critical points in a one-dimensional random quantum magnet with a quantum phase transition described by an infinite randomness fixed point. Pseudo-critical points are defined in three different ways: the position of the maximum of the average entanglement entropy, the scaling behavior of the surface magnetization, and the energy of a soft mode. All three lead to a log-normal distribution of the pseudo-critical transverse fields, where the width scales as L-1nu with nu2 and the shift of the average value scales as L-1nu_typ with nu_typ1, which we related to the scaling of average and typical quantities in the critical region.",0
"We propose a simple experiment to create a sonic horizon in isotropically trapped cold atoms within currently available experimental techniques. Numerical simulation of the Gross-Pitaevskii equation shows that the sonic horizon should appear by making the condensate expand. The expansion is triggered by changing the interaction which can be controlled by the Feshbach resonance in real experiments. The sonic horizon is shown to be quasi-static for sufficiently strong interaction or large number of atoms. The characteristic temperature that is associated with particle emission from the horizon, which corresponds to the Hawking temperature in an ideal situation, is estimated to be a few nK.",0
"We investigate the competition between pairing correlations and ferromagnetism in small metallic grains in the presence of a Zeeman field. Our analysis is based on the universal Hamiltonian, valid in the limit of large Thouless conductance. We show that the coexistence regime of superconducting and ferromagnetic correlations can be made experimentally accessible by tuning an external Zeeman field. We compare the exact solution of the model with a mean-field theory and find that the latter cannot describe pairing correlations in the intermediate regime. We also study the occurrence of spin jumps across the phase boundary separating the superconducting and coexistence regimes.",0
"A discrete Laplace transform and its inversion formula are obtained by using a quadrature of the continuous Fourier transform which is given in terms of Hermite polynomials and its zeros. This approach yields a convergent discrete formula for the two-sided Laplace transform if the function to be transformed falls off rapidly to zero and satisfy certain conditions of integrability, achieving convergence also for singular functions. The inversion formula becomes a quadrature formula for the Bromwich integral. This procedure also yields a quadrature formula for the Mellin transform and its corresponding inversion formula that can be generalized straightforwardly for functions of several variables.",0
"Using conformal field theory, we derive several new crossing formulas at the two-dimensional percolation point. High-precision simulation confirms these results. Integrating them gives a unified derivation of Cardy's formula for the horizontal crossing probability Pi_hr, Watts' formula for the horizontal-vertical crossing probability Pi_hvr, and Cardy's formula for the expected number of clusters crossing horizontally mathcalN_hr. The main step in our approach implies the identification of the derivative of one primary operator with another. We present operator identities that support this idea and suggest the presence of additional symmetry in c0 conformal field theories.",0
"The amplitude mode of a fermionic superfluid, analogous to the Higgs Boson, becomes undamped in the strong coupling regime when its frequency is pushed inside the BCS energy gap. We argue that this is the case in cold gases due to the energy dispersion and nonlocality of the pairing interaction, and propose to use the Feshbach resonance regime for parametric excitation of this mode. The results presented for the BCS pairing dynamics indicate that even weak dispersion suppresses dephasing and gives rise to persistent oscillations. The frequency of oscillations extracted from our simulation of the BCS dynamics agrees with the prediction of the many-body theory.",0
"A new method to coherently control the electron dynamics is proposed using a few-cycle laser pulse in combination with a controlling field. It is shown that this method not only broadens the attosecond pulse bandwidth, but also reduces the chirp, then an isolated 80-as pulse is straightforwardly obtained and even shorter pulse is achievable by increasing the intensity of the controlling field. Such ultrashort pulses allow one to investigate ultrafast electronic processes which have never be achieved before. In addition, the few-cycle synthesized pulse is expected to manipulate a wide range of laser-atom interactions.",0
We present the two-loop virtual QCD corrections to the production of heavy quarks in the quark--anti-quark--annihilation channel in the limit when all kinematical invariants are large compared to the mass of the heavy quark. Our result is exact up to terms suppressed by powers of the heavy-quark mass. The derivation is based on a simple relation between massless and massive scattering amplitudes in gauge theories proposed recently by two of the authors as well as a direct calculation of the massive amplitude at two loops. The results presented here form an important part of the next-to-next-to-leading order QCD contributions to heavy-quark production in hadron-hadron collisions.,0
"We address the discrepancy between the Rosenbluth and polarization transfer data for the electromagnetic form factors of the nucleon. Assuming that the effect of two-photon corrections on the polarization transfer data is negligible, we obtain a model-independent estimate of the two-photon correction Delta2gamma. We analyze the polarization transfer data and the cross section data separately using dispersion relations. A central value as well as an error estimate for Delta2gamma is then obtained from a comparison of the two analyses. The resulting values for Delta2gamma are in good agreement with direct calculations available in the literature.",0
We present a particle filter construction for a system that exhibits time-scale separation. The separation of time-scales allows two simplifications that we exploit: i The use of the averaging principle for the dimensional reduction of the system needed to solve for each particle and ii the factorization of the transition probability which allows the Rao-Blackwellization of the filtering step. Both simplifications can be implemented using the coarse projective integration framework. The resulting particle filter is faster and has smaller variance than the particle filter based on the original system. The method is tested on a multiscale stochastic differential equation and on a multiscale pure jump diffusion motivated by chemical reactions.,0
