text,word_count,source,topic
"The ketogenic diet is not considered a benign, holistic, or all-natural treatment. As with any serious medical therapy, it may result in complications, although these are generally less severe and less frequent than with anticonvulsant medication or surgery. Common but easily treatable short-term side effects include constipation, low-grade acidosis, and hypoglycaemia if an initial fast is undertaken. Raised levels of lipids in the blood affect up to 60% of children and cholesterol levels may increase by around 30%. This can be treated by changes to the fat content of the diet, such as from saturated fats towards polyunsaturated fats, and if persistent, by lowering the ketogenic ratio. Supplements are necessary to counter the dietary deficiency of many micronutrients.",118,https://en.wikipedia.org/wiki/Ketogenic_diet,Ketogenic_diet
"The day before admission to hospital, the proportion of carbohydrate in the diet may be decreased and the patient begins fasting after his or her evening meal. On admission, only calorie- and caffeine-free fluids are allowed until dinner, which consists of ""eggnog""[Note 9] restricted to one-third of the typical calories for a meal. The following breakfast and lunch are similar, and on the second day, the ""eggnog"" dinner is increased to two-thirds of a typical meal's caloric content. By the third day, dinner contains the full calorie quota and is a standard ketogenic meal (not ""eggnog""). After a ketogenic breakfast on the fourth day, the patient is discharged. Where possible, the patient's current medicines are changed to carbohydrate-free formulations.",119,https://en.wikipedia.org/wiki/Ketogenic_diet,Ketogenic_diet
"In theory, there are no restrictions on where the ketogenic diet might be used, and it can cost less than modern anticonvulsants. However, fasting and dietary changes are affected by religious and cultural issues. A culture where food is often prepared by grandparents or hired help means more people must be educated about the diet. When families dine together, sharing the same meal, it can be difficult to separate the child's meal. In many countries, food labelling is not mandatory, so calculating macronutrients such as fat, protein and carbohydrates can be difficult. In some countries, it may be hard to find sugar-free forms of medicines and supplements, to purchase an accurate electronic scale, or to afford MCT oils.",118,https://en.wikipedia.org/wiki/Ketogenic_diet,Ketogenic_diet
"A systematic review evaluated 45 studies that examined the relationship between physical activity and cancer survival rates. According to the review, ""[there] was consistent evidence from 27 observational studies that physical activity is associated with reduced all-cause, breast cancer–specific, and colon cancer–specific mortality. There is currently insufficient evidence regarding the association between physical activity and mortality for survivors of other cancers."" Evidence suggests that exercise may positively affect the quality of life in cancer survivors, including factors such as anxiety, self-esteem and emotional well-being. For people with cancer undergoing active treatment, exercise may also have positive effects on health-related quality of life, such as fatigue and physical functioning. This is likely to be more pronounced with higher intensity exercise.",119,https://en.wikipedia.org/wiki/Exercise,Exercise
"Aerobic exercise has both short and long term effects on mood and emotional states by promoting positive affect, inhibiting negative affect, and decreasing the biological response to acute psychological stress. Aerobic exercise may affect both self-esteem and overall well-being (including sleep patterns) with consistent, long term participation. Regular aerobic exercise may improve symptoms associated with central nervous system disorders and may be used as adjunct therapy for these disorders. There is some evidence of exercise treatment efficacy for major depressive disorder and attention deficit hyperactivity disorder. The American Academy of Neurology's clinical practice guideline for mild cognitive impairment indicates that clinicians should recommend regular exercise (two times per week) to individuals who have been diagnosed with these conditions.",118,https://en.wikipedia.org/wiki/Exercise,Exercise
"More recently, exercise was regarded as a beneficial force in the 19th century. In 1858, Archibald MacLaren opened a gymnasium at the University of Oxford and instituted a training regimen for Major Frederick Hammersley and 12 non-commissioned officers. This regimen was assimilated into the training of the British Army, which formed the Army Gymnastic Staff in 1860 and made sport an important part of military life. Several mass exercise movements were started in the early twentieth century as well. The first and most significant of these in the UK was the Women's League of Health and Beauty, founded in 1930 by Mary Bagot Stack, that had 166,000 members in 1937.",110,https://en.wikipedia.org/wiki/Exercise,Exercise
"The effects of exercise training appear to be heterogeneous across non-mammalian species. As examples, exercise training of salmon showed minor improvements of endurance, and a forced swimming regimen of yellowtail amberjack and rainbow trout accelerated their growth rates and altered muscle morphology favorable for sustained swimming. Crocodiles, alligators, and ducks showed elevated aerobic capacity following exercise training. No effect of endurance training was found in most studies of lizards, although one study did report a training effect. In lizards, sprint training had no effect on maximal exercise capacity, and muscular damage from over-training occurred following weeks of forced treadmill exercise.",100,https://en.wikipedia.org/wiki/Exercise,Exercise
"Cell signaling or cell communication is important for cell regulation and for cells to process information from the environment and respond accordingly. Signaling can occur through direct cell contact or endocrine, paracrine, and autocrine signaling. Direct cell-cell contact is when a receptor on a cell binds a molecule that is attached to the membrane of another cell. Endocrine signaling occurs through molecules secreted into the bloodstream. Paracrine signaling uses molecules diffusing between two cells to communicate. Autocrine is a cell sending a signal to itself by secreting a molecule that binds to a receptor on its surface. Forms of communication can be through:",103,https://en.wikipedia.org/wiki/Cell_biology,Cell_biology
"The scientific branch that studies and diagnoses diseases on the cellular level is called cytopathology. Cytopathology is generally used on samples of free cells or tissue fragments, in contrast to the pathology branch of histopathology, which studies whole tissues. Cytopathology is commonly used to investigate diseases involving a wide range of body sites, often to aid in the diagnosis of cancer but also in the diagnosis of some infectious diseases and other inflammatory conditions. For example, a common application of cytopathology is the Pap smear, a screening test used to detect cervical cancer, and precancerous cervical lesions that may lead to cervical cancer.",103,https://en.wikipedia.org/wiki/Cell_biology,Cell_biology
"Tom M. Mitchell provided a widely quoted, more formal definition of the algorithms studied in the machine learning field: ""A computer program is said to learn from experience E with respect to some class of tasks T and performance measure P if its performance at tasks in T, as measured by P, improves with experience E."" This definition of the tasks in which machine learning is concerned offers a fundamentally operational definition rather than defining the field in cognitive terms. This follows Alan Turing's proposal in his paper ""Computing Machinery and Intelligence"", in which the question ""Can machines think?"" is replaced with the question ""Can machines do what we (as thinking entities) can do?"".",114,https://en.wikipedia.org/wiki/Machine_learning,Machine_learning
